date_time,num_cases,num_diseased,type
2020-03-06,1,0,fitted
2020-03-11,2,0,fitted
2020-03-12,2,0,fitted
2020-03-13,1,0,fitted
2020-03-14,10,0,fitted
2020-03-15,10,0,fitted
2020-03-16,6,0,fitted
2020-03-17,7,0,fitted
2020-03-18,5,0,fitted
2020-03-19,8,0,fitted
2020-03-20,27,0,fitted
2020-03-21,5,0,fitted
2020-03-22,4,0,fitted
2020-03-23,29,0,fitted
2020-03-24,41,0,fitted
2020-03-25,14,1,fitted
2020-03-26,7,2,fitted
2020-03-27,38,0,fitted
2020-03-28,38,3,fitted
2020-03-29,33,1,fitted
2020-03-30,55,1,fitted
2020-03-31,40,2,fitted
2020-04-01,81,1,fitted
2020-04-02,68,4,fitted
2020-04-03,44,5,fitted
2020-04-04,104,10,fitted
2020-04-05,30,4,fitted
2020-04-06,53,6,fitted
2020-04-07,84,5,fitted
2020-04-08,130,2,fitted
2020-04-09,36,4,fitted
2020-04-10,88,3,fitted
2020-04-11,44,5,fitted
2020-04-12,19,1,fitted
2020-04-13,24,4,fitted
2020-04-14,36,6,fitted
2020-04-15,48,3,fitted
2020-04-16,43,4,fitted
2020-04-17,59,1,fitted
2020-04-18,86,2,fitted
2020-04-19,119,4,fitted
2020-04-20,79,4,fitted
2020-04-21,74,6,fitted
2020-04-22,84,1,fitted
2020-04-23,47,2,fitted
2020-04-24,179,4,fitted
2020-04-25,90,1,fitted
2020-04-26,93,6,fitted
2020-04-27,105,3,fitted
2020-04-28,64,6,fitted
2020-04-29,133,6,fitted
2020-04-30,89,8,fitted
2020-05-01,144,3,fitted
2020-05-02,71,3,fitted
2020-05-03,111,3,fitted
2020-05-04,127,5,fitted
2020-05-05,193,2,fitted
2020-05-06,200,7,fitted
2020-05-07,129,3,fitted
2020-05-08,225,4,fitted
2020-05-09,209,6,fitted
2020-05-10,127,7,fitted
2020-05-11,150,7,fitted
2020-05-12,258,0,fitted
2020-05-13,121,3,fitted
2020-05-14,207,2,fitted
2020-05-15,115,7,fitted
2020-05-16,278,4,fitted
2020-05-17,241,3,fitted
2020-05-18,197,5,fitted
2020-05-19,216,5,fitted
2020-05-20,253,6,fitted
2020-05-21,122,10,fitted
2020-05-22,280,10,fitted
2020-05-23,382,10,fitted
2020-05-24,237,7,fitted
2020-05-25,176,4,fitted
2020-05-26,355,8,fitted
2020-05-27,305,7,fitted
2020-05-28,490,4,fitted
2020-05-29,628,12,fitted
2020-05-30,478,8,fitted
2020-05-31,346,12,fitted
2020-06-01,383,8,fitted
2020-06-02,374,6,fitted
2020-06-03,505,9,fitted
2020-06-04,535,12,fitted
2020-06-05,403,15,fitted
2020-06-06,378,9,fitted
2020-06-07,319,10,fitted
2020-06-08,439,13,fitted
2020-06-09,391,14,fitted
2020-06-10,424,11,fitted
2020-06-11,408,14,fitted
2020-06-12,416,8,fitted
2020-06-13,564,11,fitted
2020-06-14,627,19,fitted
2020-06-15,414,20,fitted
2020-06-16,807,14,fitted
2020-06-17,81,25,fitted
2020-06-18,806,9,fitted
2020-06-19,1082,17,fitted
2020-06-20,697,13,fitted
2020-06-21,875,22,fitted
2020-06-22,1182,21,fitted
2020-06-23,1332,28,fitted
2020-06-24,114,26,fitted
2020-06-25,1277,23,fitted
2020-06-26,1011,31,fitted
2020-06-27,2155,32,fitted
2020-06-28,1469,37,fitted
2020-06-29,24,31,fitted
2020-06-30,706,35,fitted
2020-07-01,1415,29,fitted
2020-07-02,1334,41,fitted
2020-07-03,1448,49,fitted
2020-07-04,1181,35,fitted
2020-07-05,1287,44,fitted
2020-07-06,1096,44,fitted
2020-07-07,1626,53,fitted
2020-07-08,1506,47,fitted
2020-07-09,1646,70,fitted
2020-07-10,2685,63,fitted
2020-07-11,2516,74,fitted
2020-07-12,2198,60,fitted
2020-07-13,1724,75,fitted
2020-07-14,1907,73,fitted
2020-07-15,2461,88,fitted
2020-07-16,3129,79,fitted
2020-07-17,156,103,fitted
2020-07-18,1876,84,fitted
2020-07-19,3801,66,fitted
2020-07-20,4092,96,fitted
2020-07-21,3571,114,fitted
2020-07-22,3967,97,fitted
2020-07-23,2328,112,fitted
2020-07-24,3270,110,fitted
2020-07-25,2483,104,fitted
2020-07-26,106,111,fitted
2020-07-27,3205,104,fitted
2020-07-28,8580,99,fitted
2020-07-29,3236,112,fitted
2020-07-30,3179,129,fitted
2020-07-31,550,130,fitted
2020-08-01,3934,90,fitted
2020-08-02,6897,112,fitted
2020-08-03,3040,121,fitted
2020-08-04,4936,107,fitted
2020-08-05,3629,115,fitted
2020-08-06,2788,102,fitted
2020-08-07,3383,114,fitted
2020-08-08,3428,120,fitted
2020-08-09,2177,102,fitted
2020-08-10,664,87,fitted
2020-08-11,8464,104,fitted
2020-08-12,1182,85,fitted
2020-08-13,7083,90,fitted
2020-08-14,109,76,fitted
2020-08-15,5046,75,fitted
2020-08-16,8398,83,fitted
2020-08-17,3581,80,fitted
2020-08-18,764,102,fitted
2020-08-19,7903,90,fitted
2020-08-20,3655,81,fitted
2020-08-21,3683,84,fitted
2020-08-22,2910,81,fitted
2020-08-23,3486,63,fitted
2020-08-24,3126,72,fitted
2020-08-25,3263,93,fitted
2020-08-26,2494,72,fitted
2020-08-27,2154,88,fitted
2020-08-28,2871,56,fitted
2020-08-29,1970,80,fitted
2020-08-30,1912,56,fitted
2020-08-31,3414,63,fitted
2020-09-01,2889,53,fitted
2020-09-02,2027,59,fitted
2020-09-03,2555,55,fitted
2020-09-04,2108,79,fitted
2020-09-05,2063,49,fitted
2020-09-06,1218,50,fitted
2020-09-07,2631,74,fitted
2020-09-08,1873,63,fitted
2020-09-09,1751,38,fitted
2020-09-10,2736,58,fitted
2020-09-11,2178,56,fitted
2020-09-12,1561,52,fitted
2020-09-13,869,51,fitted
2020-09-14,1905,51,fitted
2020-09-15,2090,47,fitted
2020-09-16,2093,45,fitted
2020-09-17,2067,44,fitted
2020-09-18,1997,47,fitted
2020-09-19,1653,50,fitted
2020-09-20,1432,41,fitted
2020-09-21,1709,52,fitted
2020-09-22,1663,50,fitted
2020-09-23,2196,55,fitted
2020-09-24,1802,42,fitted
2020-09-25,1756,31,fitted
2020-09-26,1476,34,fitted
2020-09-27,952,27,fitted
2020-09-28,1501,45,fitted
2020-09-29,2019,28,fitted
2020-09-30,1382,36,fitted
2020-10-01,1705,39,fitted
2020-10-02,2281,37,fitted
2020-10-03,2041,41,fitted
2020-10-04,1645,30,fitted
2020-10-05,1624,27,fitted
2020-10-06,1766,45,fitted
2020-10-07,1902,39,fitted
2020-10-08,2054,35,fitted
2020-10-09,1696,37,fitted
2020-10-10,1606,41,fitted
2020-10-11,1075,37,fitted
2020-10-12,1038,50,fitted
2020-10-13,968,38,fitted
2020-10-14,1361,34,fitted
2020-10-15,2334,31,fitted
2020-10-16,1768,51,fitted
2020-10-17,1652,34,fitted
2020-10-18,1150,25,fitted
2020-10-19,1741,32,fitted
2020-10-20,2048,37,fitted
2020-10-21,1841,41,fitted
2020-10-22,1960,39,fitted
2020-10-23,2053,40,fitted
2020-10-24,1440,39,fitted
2020-10-25,1236,35,fitted
2020-10-26,1887,40,fitted
2020-10-27,2258,27,fitted
2020-10-28,2057,34,fitted
2020-10-29,2118,45,fitted
2020-10-30,1826,30,fitted
2020-10-31,1945,27,fitted
2020-11-01,1305,33,fitted
2020-11-02,1848,44,fitted
2020-11-03,1933,52,fitted
2020-11-04,2029,47,fitted
2020-11-05,1624,31,fitted
2020-11-06,1764,41,fitted
2020-11-07,1696,37,fitted
2020-11-08,1584,30,fitted
2020-11-09,1701,35,fitted
2020-11-10,1960,41,fitted
2020-11-11,1717,37,fitted
2020-11-12,2055,49,fitted
2020-11-13,1486,39,fitted
2020-11-14,1444,31,fitted
2020-11-15,926,42,fitted
2020-11-16,1855,34,fitted
2020-11-17,2238,27,fitted
2020-11-18,1397,37,fitted
2020-11-19,2189,38,fitted
2020-11-20,1711,34,fitted
2020-11-21,2030,35,fitted
2020-11-22,1471,47,fitted
2020-11-23,1899,44,fitted
2020-11-24,2416,35,fitted
2020-11-25,2744,38,fitted
2020-11-26,2486,38,fitted
2020-11-27,2768,42,fitted
2020-11-28,2014,32,fitted
2020-11-29,1617,42,fitted
2020-11-30,1984,30,fitted
2020-12-01,2463,45,fitted
2020-12-02,2410,35,fitted
2020-12-03,1804,38,fitted
2020-12-04,3137,46,fitted
2020-12-05,2508,35,fitted
2020-12-06,1631,38,fitted
2020-12-07,2490,34,fitted
2020-12-08,2123,37,fitted
2020-12-09,2844,39,fitted
2020-12-10,3047,47,fitted
2020-12-11,3070,49,fitted
2020-12-12,3116,49,fitted
2020-12-13,2198,44,fitted
2020-12-14,3183,39,fitted
2020-12-15,3697,48,fitted
2020-12-16,4445,43,fitted
2020-12-17,3224,44,fitted
2020-12-18,3967,52,fitted
2020-12-19,3405,66,fitted
2020-12-20,2629,61,fitted
2020-12-21,3810,58,fitted
2020-12-22,4520,61,fitted
2020-12-23,4348,56,fitted
2020-12-24,4471,66,fitted
2020-12-25,2065,62,fitted
2020-12-26,3493,74,fitted
2020-12-27,3710,65,fitted
2020-12-28,4820,91,fitted
2020-12-29,5664,77,fitted
2020-12-30,6302,93,fitted
2020-12-31,3742,79,fitted
2021-01-01,1590,81,fitted
2021-01-02,3750,81,fitted
2021-01-03,5650,72,fitted
2021-01-04,4240,90,fitted
2021-01-05,6858,91,fitted
2021-01-06,6295,90,fitted
2021-01-07,5822,110,fitted
2021-01-08,5336,90,fitted
2021-01-09,4720,108,fitted
2021-01-10,3414,102,fitted
2021-01-11,2676,127,fitted
2021-01-12,7490,118,fitted
2021-01-13,7002,126,fitted
2021-01-14,5560,127,fitted
2021-01-15,5510,111,fitted
2021-01-16,5519,109,fitted
2021-01-17,4790,127,fitted
2021-01-18,4889,115,fitted
2021-01-19,5900,123,fitted
2021-01-20,4611,111,fitted
2021-01-21,4948,126,fitted
2021-01-22,4379,101,fitted
2021-01-23,4181,99,fitted
2021-01-24,2718,98,fitted
2021-01-25,5117,118,fitted
2021-01-26,4000,108,fitted
2021-01-27,3898,111,fitted
2021-01-28,3253,100,fitted
2021-01-29,2630,93,fitted
2021-01-30,1935,79,fitted
2021-01-31,2519,71,fitted
2021-02-01,2304,73,fitted
2021-02-02,2016,78,fitted
2021-02-03,2297,71,fitted
2021-02-04,2334,64,fitted
2021-02-05,1272,71,fitted
2021-02-06,1090,61,fitted
2021-02-07,1050,52,fitted
2021-02-08,1468,68,fitted
2021-02-09,1773,65,fitted
2021-02-10,1388,58,fitted
2021-02-11,1446,46,fitted
2021-02-12,1185,48,fitted
2021-02-13,1187,32,fitted
2021-02-14,944,45,fitted
2021-02-15,887,51,fitted
2021-02-16,1368,40,fitted
2021-02-17,1088,60,fitted
2021-02-18,1111,51,fitted
2021-02-19,1056,45,fitted
2021-02-20,888,40,fitted
2021-02-21,571,40,fitted
2021-02-22,871,49,fitted
2021-02-23,947,49,fitted
2021-02-24,1085,29,fitted
2021-02-25,885,42,fitted
2021-02-26,871,32,fitted
2021-02-27,767,29,fitted
2021-02-28,753,38,fitted
2021-03-01,923,27,fitted
2021-03-02,946,24,fitted
2021-03-03,906,25,fitted
2021-03-04,819,37,fitted
2021-03-05,835,40,fitted
2021-03-06,699,36,fitted
2021-03-07,531,29,fitted
2021-03-08,619,24,fitted
2021-03-09,606,31,fitted
2021-03-10,968,16,fitted
2021-03-11,862,30,fitted
2021-03-12,770,25,fitted
2021-03-13,560,29,fitted
2021-03-14,620,29,fitted
2021-03-15,687,26,fitted
2021-03-16,828,16,fitted
2021-03-17,935,30,fitted
2021-03-18,939,29,fitted
2021-03-19,1065,28,fitted
2021-03-20,796,22,fitted
2021-03-21,886,28,fitted
2021-03-22,546,25,fitted
2021-03-23,1058,26,fitted
2021-03-24,1175,33,fitted
2021-03-25,1352,32,fitted
2021-03-26,1547,21,fitted
2021-03-27,1523,30,fitted
2021-03-28,913,24,fitted
2021-03-29,1561,43,fitted
2021-03-30,1775,38,fitted
2021-03-31,1917,31,fitted
2021-04-01,1302,36,fitted
2021-04-02,1429,26,fitted
2021-04-03,1724,27,fitted
2021-04-04,1273,48,fitted
2021-04-05,2162,38,fitted
2021-04-06,3154,44,fitted
2021-04-07,2658,33,fitted
2021-04-08,2967,39,fitted
2021-04-09,3247,46,fitted
2021-04-10,3062,45,fitted
2021-04-11,2787,48,fitted
2021-04-12,3922,41,fitted
2021-04-13,4236,52,fitted
2021-04-14,4673,52,fitted
2021-04-15,4199,57,fitted
2021-04-16,4382,48,fitted
2021-04-17,3846,62,fitted
2021-04-18,3073,67,fitted
2021-04-19,5342,61,fitted
2021-04-20,5191,62,fitted
2021-04-21,4471,107,fitted
2021-04-22,5198,85,fitted
2021-04-23,4705,70,fitted
2021-04-24,3880,83,fitted
2021-04-25,3463,65,fitted
2021-04-26,4705,98,fitted
2021-04-27,5552,71,fitted
2021-04-28,4133,99,fitted
2021-04-29,4934,81,fitted
2021-04-30,5262,84,fitted
2021-05-01,4292,88,fitted
2021-05-02,3795,113,fitted
2021-05-03,5513,99,fitted
2021-05-04,5772,97,fitted
2021-05-05,4360,108,fitted
2021-05-06,5922,102,fitted
2021-05-07,5394,110,fitted
2021-05-08,4665,121,fitted
2021-05-09,4114,94,fitted
2021-05-10,5603,142,fitted
2021-05-11,6201,122,fitted
2021-05-12,5366,116,fitted
2021-05-13,5077,125,fitted
2021-05-14,5179,123,fitted
2021-05-15,4568,110,fitted
2021-05-16,3674,119,fitted
2021-05-17,4199,134,fitted
2021-05-18,5738,122,fitted
2021-05-19,5705,116,fitted
2021-05-20,6634,118,fitted
2021-05-21,7230,149,fitted
2021-05-22,6308,122,fitted
2021-05-23,6432,131,fitted
2021-05-24,8015,115,fitted
2021-05-25,9177,129,fitted
2021-05-26,8960,140,fitted
2021-05-27,8188,118,fitted
2021-05-28,8076,162,fitted
2021-05-29,9320,140,fitted
2021-05-30,6346,144,fitted
2021-05-31,8354,145,fitted
2021-06-01,10329,145,fitted
2021-06-02,12166,172,fitted
2021-06-03,11026,165,fitted
2021-06-04,10141,137,fitted
2021-06-05,9444,164,fitted
2021-06-06,7894,163,fitted
2021-06-07,8586,149,fitted
2021-06-08,9819,159,fitted
2021-06-09,11345,186,fitted
2021-06-10,9701,184,fitted
2021-06-11,10108,195,fitted
2021-06-12,8984,206,fitted
2021-06-13,7730,192,fitted
2021-06-14,8408,201,fitted
2021-06-15,11687,206,fitted
2021-06-16,10293,165,fitted
2021-06-17,12162,184,fitted
2021-06-18,10488,159,fitted
2021-06-19,9743,170,fitted
2021-06-20,7598,155,fitted
2021-06-21,9567,193,fitted
2021-06-22,9816,175,fitted
2021-06-23,9969,171,fitted
2021-06-24,9688,181,fitted
2021-06-25,10833,157,fitted
2021-06-26,9744,154,fitted
2021-06-27,7897,151,fitted
2021-06-28,9813,176,fitted
2021-06-29,10652,145,fitted
2021-06-30,8785,150,fitted
2021-07-01,8883,137,fitted
2021-07-02,7414,156,fitted
2021-07-03,7451,156,fitted
2021-07-04,5780,156,fitted
2021-07-05,6057,125,fitted
2021-07-06,6992,138,fitted
2021-07-07,6809,129,fitted
2021-07-08,5628,128,fitted
2021-07-09,6170,105,fitted
2021-07-10,5775,130,fitted
2021-07-11,4601,138,fitted
2021-07-12,5011,106,fitted
2021-07-13,6090,88,fitted
2021-07-14,5346,119,fitted
2021-07-15,4214,110,fitted
2021-07-16,4930,100,fitted
2021-07-17,3711,99,fitted
2021-07-18,2876,77,fitted
2021-07-19,3915,70,fitted
2021-07-20,3175,82,fitted
2021-07-21,3029,83,fitted
2021-07-22,2715,67,fitted
2021-07-23,2728,75,fitted
2021-07-24,2426,69,fitted
2021-07-25,1921,59,fitted
2021-07-26,2151,56,fitted
2021-07-27,2334,59,fitted
2021-07-28,2131,59,fitted
2021-07-29,2055,60,fitted
2021-07-30,2054,42,fitted
2021-07-31,1584,50,fitted
2021-08-01,1272,63,fitted
2021-08-02,1425,49,fitted
2021-08-03,1406,43,fitted
2021-08-04,1116,27,fitted
2021-08-05,1159,37,fitted
2021-08-06,1257,46,fitted
2021-08-07,920,41,fitted
2021-08-08,582,29,fitted
2021-08-09,697,36,fitted
2021-08-10,881,28,fitted
2021-08-11,849,28,fitted
2021-08-12,536,35,fitted
2021-08-13,623,21,fitted
2021-08-14,647,27,fitted
2021-08-15,557,30,fitted
2021-08-16,496,35,fitted
2021-08-17,539,24,fitted
2021-08-18,543,23,fitted
2021-08-19,613,19,fitted
2021-08-20,593,23,fitted
2021-08-21,541,20,fitted
2021-08-22,448,28,fitted
2021-08-23,480,23,fitted
2021-08-24,516,14,fitted
2021-08-25,456,15,fitted
2021-08-26,490,16,fitted
2021-08-27,403,22,fitted
2021-08-28,363,17,fitted
2021-08-29,285,14,fitted
2021-08-30,350,13,fitted
2021-08-31,355,15,fitted
2021-09-01,322,15,fitted
2021-09-02,331,10,fitted
2021-09-03,340,9,fitted
2021-09-04,265,6,fitted
2021-09-05,182,13,fitted
2021-09-06,273,10,fitted
2021-09-07,186,25,fitted
2021-09-08,223,12,fitted
2021-09-09,255,22,fitted
2021-09-10,227,8,fitted
2021-09-11,252,16,fitted
2021-09-12,141,20,fitted
2021-09-13,149,13,fitted
2021-09-14,192,13,fitted
2021-09-15,213,12,fitted
2021-09-16,184,11,fitted
2021-09-17,193,9,fitted
2021-09-18,232,16,fitted
2021-09-19,202,10,fitted
2021-09-20,150,19,fitted
2021-09-21,237,7,fitted
2021-09-22,212,15,fitted
2021-09-23,218,11,fitted
2021-09-24,172,11,fitted
2021-09-25,134,6,fitted
2021-09-26,151,12,fitted
2021-09-27,53,10,preliminary
2021-09-28,148,6,preliminary
2021-09-29,168,12,preliminary
2021-09-30,255,9,preliminary
2021-10-01,169,7,preliminary
2021-10-02,110,15,preliminary
2021-10-03,105,10,preliminary
2021-10-04,123,14,preliminary
2021-10-05,143,16,preliminary
2021-10-06,246,12,preliminary
2021-10-07,162,14,preliminary
2021-10-08,183,13,preliminary
2021-10-09,161,9,preliminary
2021-10-10,125,8,preliminary